frame	"t, s"	id	type	Px	Py	Pt	Sx	Sy	St	Tx	Ty	Tt	mode	ctrl.img.filename
2315	2.217	50	A	960.5	465	0	963.401	456.933	-91.4656	955	250	0	Tracking	default
2316	2.235	50	A	958.21	444.653	0	963.425	440.282	-90.9376	955	250	0	Tracking	default
2317	2.253	50	A	958.234	444.735	0	963.425	440.282	-90.9443	955	250	0	Tracking	default
2318	2.271	50	A	958.23	444.951	0	963.425	440.282	-90.9447	955	250	0	Tracking	default
2319	2.289	50	A	958.181	444.395	0	963.425	440.282	-90.9347	955	250	0	Tracking	default
2320	2.307	50	A	958.19	444.354	0	963.425	440.282	-90.9404	955	250	0	Tracking	default
2321	2.325	50	A	958	429.5	0	963.45	423.631	-90.9578	955	250	0	Tracking	default
2322	2.343	50	A	958	429.5	0	963.45	423.631	-90.9578	955	250	0	Tracking	default
2323	2.361	50	A	958	429.5	0	963.45	423.631	-90.9577	955	250	0	Tracking	default
2324	2.379	50	A	958	429.5	0	963.45	423.631	-90.9576	955	250	0	Tracking	default
2325	2.383	50	A	958	431	0	963.45	423.631	-90.9575	955	250	0	Tracking	default
2326	2.401	50	A	963.2	411.9	0	963.45	423.631	-90.9494	955	250	0	Tracking	default
2327	2.416	50	A	963.2	411.9	0	963.474	406.98	-92.9361	955	250	0	Tracking	default
2328	2.435	50	A	960.947	411.944	0	963.474	406.98	-92.266	955	250	0	Tracking	default
2329	2.45	50	A	961.128	412.239	0	963.474	406.98	-92.1123	955	250	0	Tracking	default
2330	2.466	50	A	961.128	412.239	0	963.474	406.98	-92.1654	955	250	0	Tracking	default
2331	2.496	50	A	959	395	0	963.499	390.329	-91.562	955	250	0	Tracking	default
2332	2.5	50	A	959	396	0	963.499	390.329	-91.5675	955	250	0	Tracking	default
2333	2.518	50	A	959	396	0	963.499	390.329	-91.5614	955	250	0	Tracking	default
2334	2.534	50	A	959	395	0	963.499	390.329	-91.5763	955	250	0	Tracking	default
2335	2.55	50	A	958.721	396.642	0	963.499	390.329	-91.4514	955	250	0	Tracking	default
2336	2.568	50	A	958.721	396.642	0	963.499	390.329	-91.4513	955	250	0	Tracking	default
2337	2.586	50	A	958.721	396.642	0	963.499	390.329	-91.4521	955	250	0	Tracking	default
2338	2.604	50	A	958.665	395.482	0	963.499	390.329	-91.4419	955	250	0	Tracking	default
2339	2.622	50	A	949.878	390.598	0	947.085	390.356	-87.9002	955	250	0	Tracking	default
2340	2.64	50	A	949.784	390.743	0	947.085	390.356	-87.8758	955	250	0	Tracking	default
2341	2.658	50	A	947.628	378.701	0	947.109	373.705	-86.6373	955	250	0	Tracking	default
2342	2.676	50	A	947.66	378.947	0	947.109	373.705	-86.6865	955	250	0	Tracking	default
2343	2.694	50	A	947.661	378.916	0	947.109	373.705	-86.7246	955	250	0	Tracking	default
2344	2.712	50	A	947.859	378.903	0	947.109	373.705	-86.8233	955	250	0	Tracking	default
2345	2.716	50	A	947.859	378.903	0	947.109	373.705	-86.8325	955	250	0	Tracking	default
2346	2.734	50	A	954.538	371.839	0	947.109	373.705	-87.0352	955	250	0	Tracking	default
2347	2.75	50	A	954.538	371.839	0	947.109	373.705	-89.8583	955	250	0	Tracking	default
2348	2.766	50	A	960.705	364.233	0	947.109	373.705	-89.8556	955	250	0	Tracking	default
2349	2.784	50	A	960.448	364.379	0	963.547	357.026	-92.9921	955	250	0	Tracking	default
2350	2.814	50	A	960.37	364.834	0	963.547	357.026	-92.7779	955	250	0	Tracking	default
2351	2.828	50	A	959.923	364.164	0	963.547	357.026	-92.5116	955	250	0	Tracking	default
2352	2.834	50	A	960.534	364.586	0	963.547	357.026	-92.4854	955	250	0	Tracking	default
2353	2.851	50	A	959.7	347.1	0	963.547	357.026	-92.7653	955	250	0	Tracking	default
2354	2.867	50	A	959.7	347.1	0	963.572	340.375	-92.7769	955	250	0	Tracking	default
2355	2.883	50	A	959.6	347.3	0	963.572	340.375	-92.7106	955	250	0	Tracking	default
2356	2.901	50	A	959.724	347.31	0	963.572	340.375	-92.7827	955	250	0	Tracking	default
2357	2.919	50	A	959.81	347.276	0	963.572	340.375	-92.8335	955	250	0	Tracking	default
2358	2.937	50	A	959.588	346.853	0	963.572	340.375	-92.7109	955	250	0	Tracking	default
2359	2.955	50	A	958.113	330.483	0	963.596	323.724	-92.1931	955	250	0	Tracking	default
2360	2.973	50	A	957.95	330.65	0	963.596	323.724	-92.0686	955	250	0	Tracking	default
2361	2.991	50	A	957.738	330.535	0	963.596	323.724	-91.9228	955	250	0	Tracking	default
2362	3.009	50	A	957.95	331.563	0	963.596	323.724	-92.0615	955	250	0	Tracking	default
2363	3.027	50	A	956.15	313.45	0	963.621	307.073	-90.9875	955	250	0	Tracking	default
2364	3.045	50	A	955.732	313.521	0	963.621	307.073	-90.5933	955	250	0	Tracking	default
2365	3.049	50	A	955.732	313.521	0	963.621	307.073	-90.6111	955	250	0	Tracking	default
2366	3.067	50	A	955.5	313.5	0	963.621	307.073	-90.6543	955	250	0	Tracking	default
2367	3.085	50	A	955.5	313.5	0	963.621	307.073	-90.4373	955	250	0	Tracking	default
2368	3.099	50	A	955.693	317.931	0	963.621	307.073	-90.5829	955	250	0	Tracking	default
2369	3.117	50	A	955.5	297	0	963.645	290.422	-90.6124	955	950	0	Tracking	default
2370	3.135	50	A	955.5	297.5	0	963.645	290.422	90.0411	955	950	0	Tracking	default
2371	3.153	50	A	955.5	298.5	0	963.645	290.422	90.0413	955	950	0	Tracking	default
2372	3.171	50	A	955	298.5	0	947.231	290.45	89.9981	955	950	0	Tracking	default
2373	3.189	50	A	955.5	280.5	0	963.669	273.771	90.0418	955	950	0	Tracking	default
2374	3.207	50	A	955.5	280.5	0	963.645	290.422	90.0429	955	950	0	Tracking	default
2375	3.225	50	A	955.5	281.5	0	963.645	290.422	90.0429	955	950	0	Tracking	default
2376	3.243	50	A	955.5	281.5	0	963.645	290.422	90.0429	955	950	0	Tracking	default
2377	3.261	50	A	955.5	281.5	0	963.645	290.422	90.0428	955	950	0	Tracking	default
2378	3.279	50	A	955.5	314.5	0	963.596	323.724	90.0451	955	950	0	Tracking	default
2379	3.283	50	A	955.5	314.5	0	963.596	323.724	90.0451	955	950	0	Tracking	default
2380	3.301	50	A	955.5	323.5	0	963.596	323.724	90.0451	955	950	0	Tracking	default
2381	3.317	50	A	955.5	323.5	0	963.596	323.724	90.0457	955	950	0	Tracking	default
2382	3.333	50	A	955.5	323.5	0	963.596	323.724	90.0457	955	950	0	Tracking	default
2383	3.351	50	A	955.5	323.5	0	963.596	323.724	90.0457	955	950	0	Tracking	default
2384	3.369	50	A	956	356	0	963.547	357.026	90.0967	955	950	0	Tracking	default
2385	3.383	50	A	956	356	0	955.341	357.04	0	955	950	0	Unsticking	default
2386	3.401	50	A	956.5	356	0	955.341	357.04	0	955	950	0	Unsticking	default
2387	3.417	50	A	956.5	356	0	955.341	357.04	0	955	950	0	Unsticking	default
2388	3.433	50	A	956.5	356	0	955.341	357.04	0	955	950	0	Unsticking	default
2389	3.451	50	A	956.5	356	0	955.341	357.04	0	955	950	0	Unsticking	default
2390	3.469	50	A	956.662	356.292	0	955.341	357.04	0	955	950	0	Unsticking	default
2391	3.487	50	A	957.561	356.049	0	955.341	357.04	0	955	950	0	Unsticking	default
